gdenergy_max,gdpuls_max,gdenergy_min,gdpuls_min,n_inliers_included,n_outliers_included,n_inliers,n_inliers_p0,n_inliers_p1,precision_vs_model,rules_agreement
63,58,-34,-20,188,0.0,614,614,614,0.93,0.9048
-5,26,-67,-42,185,0.0,614,614,614,0.93,0.9048
-23,-24,-82,-79,215,0.0,614,614,614,0.93,0.9048
65,82,10,23,43,0.0,614,614,614,0.93,0.9048
61,-20,12,-65,28,0.0,614,614,614,0.93,0.9048
12,-20,-23,-52,52,0.0,614,614,614,0.93,0.9048
87,30,52,-20,19,0.0,614,614,614,0.93,0.9048
102,47,69,19,14,0.0,614,614,614,0.93,0.9048
100,95,67,65,14,0.0,614,614,614,0.93,0.9048
-65,-50,-83,-65,29,0.0,614,614,614,0.93,0.9048
-3,-58,-18,-85,11,0.0,614,614,614,0.93,0.9048
18,-55,0,-75,10,0.0,614,614,614,0.93,0.9048
-45,-69,-59,-90,9,0.0,614,614,614,0.93,0.9048
-72,-65,-85,-76,30,0.0,614,614,614,0.93,0.9048
66,98,54,74,6,0.0,614,614,614,0.93,0.9048
47,94,38,89,3,0.0,614,614,614,0.93,0.9048
-64,-71,-75,-81,20,0.0,614,614,614,0.93,0.9048
-66,-85,-70,-92,3,0.0,614,614,614,0.93,0.9048
-79,-75,-84,-81,9,0.0,614,614,614,0.93,0.9048
-85,-74,-86,-77,3,0.0,614,614,614,0.93,0.9048
-85,-72,-88,-74,5,0.0,614,614,614,0.93,0.9048
