gdenergy_max,gdpuls_max,gdenergy_min,gdpuls_min
-24,-9,-35,-20
66,98,54,85
-70,-64,-81,-73
46,18,28,1
17,-52,5,-60
3,18,-11,9
-42,-45,-52,-55
102,43,86,19
10,-38,-7,-45
37,51,26,36
-32,1,-44,-10
-70,-50,-83,-62
16,-8,0,-22
81,-20,77,-20
-11,47,-34,35
-24,-69,-45,-79
-37,-24,-50,-34
95,78,83,65
39,71,32,66
-17,-35,-27,-49
75,24,56,14
-54,-24,-68,-35
-7,-26,-21,-38
-54,-65,-66,-75
63,-10,37,-22
-18,6,-27,-5
65,61,49,49
61,-38,44,-45
12,53,-4,40
15,35,4,16
62,38,41,18
-40,-56,-55,-64
7,6,-6,-11
-37,26,-58,5
-48,0,-59,-13
-52,-39,-63,-49
27,10,9,-4
87,15,67,-3
-5,-7,-22,-20
-24,-47,-35,-61
-58,-51,-69,-64
75,47,69,39
33,32,28,20
-39,-13,-52,-24
18,-65,4,-75
-79,-74,-86,-81
-75,-24,-82,-36
-3,-58,-23,-71
-53,-82,-67,-92
-10,58,-18,58
-31,-35,-48,-46
100,95,79,87
-6,6,-15,-3
-7,-74,-14,-85
47,94,38,89
7,-25,-3,-33
-23,12,-36,2
10,69,10,69
0,30,-5,20
30,-28,15,-32
5,-44,-10,-58
37,-50,21,-65
76,74,62,67
27,-38,14,-52
-14,27,-31,15
27,82,22,74
-23,-22,-36,-36
-65,-37,-80,-47
-82,-66,-88,-75
-65,-74,-76,-85
