gdenergy_max,gdpuls_max,gdenergy_min,gdpuls_min,n_inliers_included,n_outliers_included,n_inliers,n_inliers_p0,n_inliers_p1
63,58,-34,-20,188,0.0,614,614,614
-5,26,-67,-42,185,0.0,614,614,614
-23,-24,-82,-79,215,0.0,614,614,614
65,82,10,23,43,0.0,614,614,614
61,-20,12,-65,28,0.0,614,614,614
12,-20,-23,-52,52,0.0,614,614,614
87,30,52,-20,19,0.0,614,614,614
102,47,69,19,14,0.0,614,614,614
100,95,67,65,14,0.0,614,614,614
-65,-50,-83,-65,29,0.0,614,614,614
-3,-58,-18,-85,11,0.0,614,614,614
18,-55,0,-75,10,0.0,614,614,614
-45,-69,-59,-90,9,0.0,614,614,614
-72,-65,-85,-76,30,0.0,614,614,614
66,98,54,74,6,0.0,614,614,614
47,94,38,89,3,0.0,614,614,614
-64,-71,-75,-81,20,0.0,614,614,614
-66,-85,-70,-92,3,0.0,614,614,614
-79,-75,-84,-81,9,0.0,614,614,614
-85,-74,-86,-77,3,0.0,614,614,614
-85,-72,-88,-74,5,0.0,614,614,614
