gdenergy_max,gdpuls_max,gdenergy_min,gdpuls_min,n_inliers_included,n_outliers_included,n_outliers_p1,n_outliers_p0,n_outliers
287,278,121,91,0.0,14,69,69,69
262,-65,262,-65,0.0,1,69,69,69
15,-82,15,-82,0.0,1,69,69,69
60,-68,55,-68,0.0,2,69,69,69
95,-52,73,-60,0.0,2,69,69,69
-77,67,-77,67,0.0,1,69,69,69
126,122,112,91,0.0,4,69,69,69
91,151,57,136,0.0,3,69,69,69
32,94,0,85,0.0,4,69,69,69
214,90,176,30,0.0,4,69,69,69
73,-35,73,-35,0.0,1,69,69,69
97,-18,96,-38,0.0,2,69,69,69
-81,-84,-96,-91,0.0,11,69,69,69
-71,-92,-72,-92,0.0,2,69,69,69
-62,-95,-62,-95,0.0,1,69,69,69
-68,15,-68,15,0.0,1,69,69,69
-49,36,-49,36,0.0,1,69,69,69
44,104,33,97,0.0,2,69,69,69
66,104,66,104,0.0,1,69,69,69
101,0,101,0,0.0,1,69,69,69
151,59,123,33,0.0,3,69,69,69
-93,-73,-94,-82,0.0,3,69,69,69
-84,-82,-89,-82,0.0,3,69,69,69
-88,-76,-88,-79,0.0,3,69,69,69
