gdenergy_max,gdenergy_min,gdpuls_max,gdpuls_min,size_rules,n_inliers_included,n_outliers_included,n_inliers,n_inliers_p0,n_inliers_p1,n_outliers_p1,n_outliers_p0,n_outliers,rule_id,score,n_intersects,precision_vs_model,rules_agreement
inf,104.5,inf,-inf,1.0,0.0,24.0,614.0,614.0,156.0,69.0,69.0,69.0,0,0.82,17,0.99,0.9525
inf,-inf,inf,101.0,2.0,0.0,19.0,614.0,614.0,156.0,69.0,69.0,69.0,1,0.86,12,0.99,0.9525
-70.5,-inf,-81.5,-inf,3.0,0.0,18.0,614.0,614.0,156.0,69.0,69.0,69.0,2,0.94,5,0.99,0.9525
inf,35.0,inf,99.5,3.0,0.0,18.0,614.0,614.0,156.0,69.0,69.0,69.0,3,0.94,7,0.99,0.9525
-86.5,-inf,-74.5,-inf,3.0,0.0,14.0,614.0,614.0,156.0,69.0,69.0,69.0,4,0.94,6,0.99,0.9525
inf,87.5,9.5,-inf,3.0,0.0,5.0,614.0,614.0,156.0,69.0,69.0,69.0,5,0.68,16,0.99,0.9525
inf,64.5,-27.5,-91.0,4.0,0.0,5.0,614.0,614.0,156.0,69.0,69.0,69.0,6,0.69,13,0.99,0.9525
111.5,-inf,inf,99.0,3.0,0.0,5.0,614.0,614.0,156.0,69.0,69.0,69.0,7,0.77,13,0.99,0.9525
inf,89.5,16.0,-inf,2.0,0.0,5.0,614.0,614.0,156.0,69.0,69.0,69.0,8,0.68,16,0.99,0.9525
inf,53.5,-47.0,-inf,2.0,0.0,5.0,614.0,614.0,156.0,69.0,69.0,69.0,9,0.68,15,0.99,0.9525
-84.5,-inf,-77.5,-85.5,4.0,0.0,9.0,614.0,614.0,156.0,69.0,69.0,69.0,10,0.9,4,0.99,0.9525
inf,54.5,-45.0,-83.0,3.0,0.0,5.0,614.0,614.0,156.0,69.0,69.0,69.0,11,0.66,13,0.99,0.9525
inf,38.5,-48.5,-inf,4.0,0.0,5.0,614.0,614.0,156.0,69.0,69.0,69.0,12,0.68,15,0.99,0.9525
inf,69.5,-27.5,-inf,2.0,0.0,5.0,614.0,614.0,156.0,69.0,69.0,69.0,13,0.68,15,0.99,0.9525
inf,85.0,6.0,-inf,3.0,0.0,5.0,614.0,614.0,156.0,69.0,69.0,69.0,14,0.68,16,0.99,0.9525
inf,88.0,14.5,-inf,2.0,0.0,5.0,614.0,614.0,156.0,69.0,69.0,69.0,15,0.68,16,0.99,0.9525
35.0,-inf,inf,83.5,2.0,0.0,5.0,614.0,614.0,156.0,69.0,69.0,69.0,16,0.77,10,0.99,0.9525
inf,84.0,10.0,-90.5,4.0,0.0,5.0,614.0,614.0,156.0,69.0,69.0,69.0,17,0.75,14,0.99,0.9525
64.5,26.5,inf,96.0,4.0,0.0,3.0,614.0,614.0,156.0,69.0,69.0,69.0,18,0.89,6,0.99,0.9525
-34.5,-inf,inf,29.0,2.0,0.0,2.0,614.0,614.0,156.0,69.0,69.0,69.0,19,0.77,9,0.99,0.9525
inf,20.5,-67.5,-inf,2.0,0.0,2.0,614.0,614.0,156.0,69.0,69.0,69.0,20,0.68,15,0.99,0.9525
45.5,-inf,inf,92.0,2.0,0.0,3.0,614.0,614.0,156.0,69.0,69.0,69.0,21,0.77,11,0.99,0.9525
-67.5,-inf,inf,-6.5,2.0,0.0,2.0,614.0,614.0,156.0,69.0,69.0,69.0,22,0.77,9,0.99,0.9525
96.5,95.5,89.5,-inf,5.0,0.0,1.0,614.0,614.0,156.0,69.0,69.0,69.0,23,0.65,14,0.99,0.9525
101.5,100.5,inf,-27.5,4.0,0.0,1.0,614.0,614.0,156.0,69.0,69.0,69.0,24,0.9,8,0.99,0.9525
-91.0,-inf,inf,-81.5,3.0,0.0,1.0,614.0,614.0,156.0,69.0,69.0,69.0,25,0.77,10,0.99,0.9525
inf,0.5,-75.5,-inf,2.0,0.0,1.0,614.0,614.0,156.0,69.0,69.0,69.0,26,0.68,15,0.99,0.9525
inf,-inf,-93.5,-inf,2.0,0.0,1.0,614.0,614.0,156.0,69.0,69.0,69.0,27,0.79,14,0.99,0.9525
55.0,-87.5,101.0,96.0,5.0,0.0,1.0,614.0,614.0,156.0,69.0,69.0,69.0,28,0.9,8,0.99,0.9525
-93.0,-inf,inf,-85.5,2.0,0.0,3.0,614.0,614.0,156.0,69.0,69.0,69.0,29,0.77,10,0.99,0.9525
112.5,-93.5,-92.5,-inf,6.0,0.0,1.0,614.0,614.0,156.0,69.0,69.0,69.0,30,0.89,14,0.99,0.9525
-67.5,-92.5,inf,-7.5,3.0,0.0,2.0,614.0,614.0,156.0,69.0,69.0,69.0,31,0.8,8,0.99,0.9525
